# Plummer Sphere Model Random Initial Conditions - 10000 particles 
# 
#              position_x           position_y           position_z           velocity_x           velocity_y           velocity_z              masses    
            -4.89855021e-01       2.00343527e-01       1.17707179e+00      -6.15709114e+01      -1.55692720e+02       4.78387064e+01        9.42866034e-05
            -3.25463068e-01       1.47931837e+00      -9.64102652e-01      -6.93552753e+01      -1.02503789e+02       1.13738952e+02        9.42866034e-05
            -8.61282723e-02      -5.13517442e-01       1.00213738e+00       1.10400275e+02      -5.86484949e+01       7.94224614e+00        9.42866034e-05
            -1.86263428e-01       3.38533416e-01      -2.23443807e-02      -1.14523420e+01       1.18490235e+02       1.86732341e+01        9.42866034e-05
             4.56530457e-02       1.11641915e+00       2.57420304e+00       4.83246053e+01      -3.02333892e+01       1.31549508e+01        9.42866034e-05
            -8.59930031e-01       1.31485114e+00      -5.75599113e-01      -8.22129612e+01      -8.21832708e+00      -1.22486296e+02        9.42866034e-05
             3.28296335e-01      -7.64446866e-01       3.72234721e-01      -3.70586587e+01       8.22098469e+01       8.28077403e+01        9.42866034e-05
             7.92758687e-02       1.45015665e+00      -2.77919493e-01      -1.98708784e+01       2.21814786e+01      -7.31162343e+00        9.42866034e-05
             5.10118502e-01       1.16274167e-01      -1.28046642e-01      -1.06733847e+02       2.44750707e+01      -9.25197487e+01        9.42866034e-05
            -9.78816974e-01       6.56943600e-01       5.61725688e-01      -5.02146866e+01      -8.92432925e+01      -5.12532399e+00        9.42866034e-05
            -1.42555528e-02      -4.63419737e-01      -1.19696799e+00      -3.03343845e+01       2.10598604e+01       5.56321322e+01        9.42866034e-05
             1.59325751e-01       3.63747686e-01      -6.71660191e-01      -6.24978951e+00      -1.35569676e+01       3.89426418e+00        9.42866034e-05
            -8.23227610e-01       9.66241723e-02      -1.61300318e-01       2.08921267e+01       6.26449239e+01       6.18699240e+01        9.42866034e-05
             1.33543380e-01      -7.40938383e-01       4.24740343e-02      -2.29615138e+01      -4.90724739e+01       2.14150824e+01        9.42866034e-05
             4.38003236e-01       9.34791467e-01       1.09849776e+00       7.90551415e+01       2.63321876e+01      -1.16535440e+02        9.42866034e-05
            -9.42043586e-01       4.15719187e-01       9.82021015e-01      -1.45975192e+02      -1.15689609e+00      -4.02701168e+00        9.42866034e-05
             2.34696534e-01       1.87466744e-01      -6.31084426e-01       9.29690484e+01      -7.67720640e+01      -1.88645961e+02        9.42866034e-05
             3.91654473e-01       5.57257365e-01       2.17575394e-01      -9.05962826e+01      -1.01600776e+01      -6.43376725e+01        9.42866034e-05
            -1.44379642e+00       3.07375782e+00       1.00053988e+00       1.19392039e+01       4.25325986e+01      -1.88416537e+01        9.42866034e-05
            -7.69755211e-01       1.04485292e+00       1.60429506e+00       1.14840114e+02       5.00346902e+01      -9.33369249e+00        9.42866034e-05
             1.41166077e-01      -6.48835042e-01       2.04846680e-02       1.16254291e+02       1.07144921e+01       1.07484956e+02        9.42866034e-05
             7.72033507e-01       1.37774387e-01       1.07210853e+00       1.91060281e+01       6.22074983e+01      -6.24668176e+01        9.42866034e-05
             6.61898952e-01       1.26134777e+00       5.80287172e-01       1.10342191e+01       7.38952494e+01      -5.71750935e+01        9.42866034e-05
             3.22999667e-01      -8.23436862e-01      -1.19954312e-01      -2.95465112e+01      -1.03474577e+02       4.96216758e+01        9.42866034e-05
             6.50999972e-01      -4.72102125e-02      -1.84322327e-01      -6.60877446e+01       1.24678469e+01       3.56033026e+00        9.42866034e-05
            -4.74449783e-01      -7.26977806e-02      -6.31743337e-01      -7.27201250e+01      -9.31525056e+00      -5.83455803e+01        9.42866034e-05
            -7.91669533e-02      -8.27150816e-01      -5.77937418e-01       1.24797346e+02       4.96750213e+01       1.00808247e+02        9.42866034e-05
            -4.34990240e-01       1.04804566e+00      -2.44380841e+00      -7.54325938e+01       7.31607092e+01       3.33620745e+00        9.42866034e-05
            -2.20513482e+00       5.68498408e-01       2.64519013e+00       2.56551428e+01       1.12203175e+02      -8.14614803e+01        9.42866034e-05
             8.61076582e-01      -4.80563121e-03       7.89684254e-01       6.16145064e+01       1.08415494e+00      -1.44875165e+02        9.42866034e-05
            -1.55787732e-01      -4.24535836e-01       3.22358867e-01      -1.20396900e+01      -5.75400793e+01       2.74180097e+01        9.42866034e-05
             2.20974498e-01       1.09448910e-01       5.83136753e-02       1.20323671e+02      -2.43006484e+01       3.73379727e+01        9.42866034e-05
             6.22916734e-02      -7.88047362e-01       4.10119619e-01       1.08748891e+02       3.26209135e+01       1.25875598e+01        9.42866034e-05
            -3.58594395e-01      -5.59180782e-01       9.04606584e-01       5.18480863e+01       1.27516869e+02      -1.06663517e+02        9.42866034e-05
            -2.73587111e-01       5.62191561e-01       8.93163037e-01      -5.09059829e+01      -8.10431846e+01       9.40285709e+01        9.42866034e-05
            -2.35805264e+00      -5.43976728e-01       1.54384605e+00       4.20647045e+01      -5.03321633e+01      -6.17857189e+01        9.42866034e-05
            -1.70816474e-01       1.23235182e+00      -5.29573264e-03      -1.15454332e+02      -6.71784535e+01      -6.33756841e+00        9.42866034e-05
             3.03923805e-01      -1.16761954e+00       4.73261857e-02       4.24216760e+01       2.74263351e+01      -1.05171603e+02        9.42866034e-05
             1.56906450e-01       2.63520647e-01      -6.17955376e-01      -1.48329433e+01      -4.56306848e+01      -7.08122795e+01        9.42866034e-05
            -8.68199991e-01       1.60995571e-02       4.86768711e-01      -8.17147908e+01       2.14566963e+01      -2.60481370e+01        9.42866034e-05
             4.68798794e-01      -5.49156890e-01       3.92541653e-01      -1.14781972e+02       3.05165970e+01      -4.38940609e+01        9.42866034e-05
            -5.67998494e-01       4.62338775e-01      -6.93731389e-01       1.37726620e+01       2.40720510e+00      -1.21141505e+01        9.42866034e-05
             6.50684218e-03      -3.64684797e-01       7.36920953e-01       8.49191663e+01      -2.28143279e+01      -1.02502340e+01        9.42866034e-05
            -8.16105439e-02      -3.95851743e-01      -9.21467879e-01       1.29001445e+02       1.91064921e+01      -1.15685109e+01        9.42866034e-05
             1.70021498e-01       2.95765146e-01       8.60797312e-01      -1.48677665e+01       3.42853990e+01       3.96301279e+01        9.42866034e-05
            -5.30141231e-03      -2.45578312e-01       1.26166290e+00       6.49470791e+01       9.96134098e+01       1.06236757e+02        9.42866034e-05
            -1.43731485e+00       9.53224729e-01      -9.73842692e-01       8.07187409e+01       1.07377602e+01       5.65128897e+00        9.42866034e-05
             1.01113901e+00       1.34865595e-01       2.94200997e-01      -8.79594338e+01      -9.33763087e+01      -2.30769419e+01        9.42866034e-05
            -4.08354197e-01      -1.54607164e-01      -2.98500858e-01       8.39845744e+01       5.49860144e+01      -6.67513074e+01        9.42866034e-05
             7.39393020e-01       5.04829511e-01      -2.56172521e-01      -3.99761357e+01       1.18102534e+01       4.41270705e+01        9.42866034e-05
            -2.62269268e-01      -1.25283380e+00       1.10458066e-01      -2.27446775e+01      -5.64011004e+01      -4.24868917e+01        9.42866034e-05
             5.33332243e-01       1.41265268e-01      -3.08086134e-01       6.71466641e+01      -1.87870430e+02      -2.78299221e+01        9.42866034e-05
             2.51377722e-01      -1.23155640e+00      -3.14810118e-01      -2.31598679e+01       6.34670868e-01      -1.22803333e+02        9.42866034e-05
            -3.12171360e-01       9.29249161e-01       1.24464823e+00       4.82721837e+00      -5.93374026e+01       7.62263848e+01        9.42866034e-05
            -6.66029478e-01      -2.21128769e-01      -2.06240043e-01      -1.51286142e+02       1.88360264e+01       1.20510725e+01        9.42866034e-05
             2.31191051e-01      -1.57273935e-01      -1.68167806e-01      -1.07650633e+01      -5.20666102e+01      -5.32684053e+01        9.42866034e-05
            -2.52136579e-01       6.53282563e-01       1.08489141e+00       4.46844889e+01       8.25137660e+01      -5.11571671e+01        9.42866034e-05
            -8.09329021e-01       1.76409074e+00      -9.38220072e-01      -1.31831563e+01      -3.70283816e+01       2.10727806e+01        9.42866034e-05
            -1.87592276e-01       1.48250592e-01      -3.87400197e-02       6.78693120e+01      -8.55361394e+01      -9.15397218e+01        9.42866034e-05
             1.11520780e+00       9.38248872e-01      -2.07860962e-01       5.12751303e+01      -6.06123322e+01      -6.89859059e+01        9.42866034e-05
            -8.95271489e-02      -1.67685975e-01      -1.25177421e+00       4.73849838e+01       4.69145889e+01      -5.46477947e+01        9.42866034e-05
            -5.61994149e-01      -2.74227586e+00       5.67212829e-01      -5.67516054e+01      -1.93034735e+01       2.89939980e+01        9.42866034e-05
